name,imo,date_designated,flag_at_designation,flag_after,new_name,days_to_hop,first_hop_date,registry_confirmed
AULIS,9233765,12/09/2025,,MOZ,PAZ,147,2026-02-06,False
MA JIN,9346744,24/02/2025,Panama,SLE,MA JIN,148,2025-07-22,False
APUS,9299745,12/09/2025,,RUS,ALGORITM,154,2026-02-13,False
SARASWATI,9383869,24/02/2026,Cameroon,RUS,KEY,155,2026-07-29,False
LUMIN,9330599,24/02/2026,Cameroon,SLE,LUMIN,156,2026-07-30,False
BETTLE,9323338,12/09/2025,,RUS,ANEMON,159,2026-02-18,False
MAVERICK,9321562,24/02/2026,,RUS,MUSSON,159,2026-08-02,False
SCF LA PEROUSE,9849887,26/09/2024,Barbados,COM,LA PEROUSE,161,2025-03-06,False
AUGA,9381732,12/09/2025,,RUS,AKCENT,161,2026-02-20,False
UNITE,9308132,17/06/2025,Guinea-Bissau,MOZ,TEMPEST DREAM,163,2025-11-27,False
PICTOR,9322827,12/09/2025,,RUS,ANTARES,166,2026-02-25,False
ZALIV ANIVA,9418494,11/09/2024,Panama,COM,ZALIV ANIVA,167,2025-02-25,True
MULAN,9864837,17/10/2024,Panama,IRL,MULAN,168,2025-04-03,False
RAGNAR,9384095,20/05/2025,Palau,SLE,RAGNAR,169,2025-11-05,False
JUMBO,9290335,24/02/2025,Gabon,SLE,JUMBO,173,2025-08-16,False
VELORA,9290373,24/02/2026,Sierra Leone,RUS,RAVELIN,174,2026-08-17,False
JI XIANG,9384459,24/02/2025,Panama,RUS,ONEGA,180,2025-08-23,True
EVEREST ENERGY,9243148,17/10/2024,Palau,RUS,ARCTIC METAGAZ,183,2025-04-18,False
JEWEL,9419450,24/02/2026,Panama,RUS,MORGANIT,183,2026-08-26,False
GARUDA,9272931,24/02/2026,Sierra Leone,RUS,GERAN,184,2026-08-27,False
SENSUS,9296585,12/09/2025,,RUS,ASTRA,185,2026-03-16,False
SEA FIDELITY,9285835,17/10/2024,Cook Islands,COM,SEA FIDELITY,189,2025-04-24,False
